No,Provinsi,Kabupaten
1,Aceh,Kota Banda Aceh
2,Aceh,Kab. Aceh Jaya
3,Aceh,Kota Sabang
4,Aceh,Kab. Aceh Besar
5,Aceh,Kab. Aceh Selatan
6,Aceh,Kab. Aceh Tenggara
7,Aceh,Kab. Aceh Barat Daya
8,Aceh,Kota Subulussalam
9,Aceh,Kab. Aceh Singkil
10,Aceh,Kab. Aceh Barat
11,Aceh,Kab. Simeulue
12,Aceh,Kab. Pidie
13,Aceh,Kab. Pidie Jaya
14,Aceh,Kab. Nagan Raya
15,Aceh,Kab. Bireuen
16,Aceh,Kota Langsa
17,Aceh,Kab. Aceh Timur
18,Aceh,Kab. Aceh Tamiang
19,Aceh,Kab. Aceh Tengah
20,Aceh,Kab. Aceh Utara
21,Aceh,Kab. Bener Meriah
22,Aceh,Kota Lhokseumawe
23,Aceh,Kab. Gayo Lues
24,Sumatera Utara,Kota Medan
25,Sumatera Utara,Kab. Langkat
26,Sumatera Utara,Kab. Karo
27,Sumatera Utara,Kota Binjai
28,Sumatera Utara,Kab. Dairi
29,Sumatera Utara,Kab. Pakpak Bharat
30,Sumatera Utara,Kab. Deli Serdang
31,Sumatera Utara,Kab. Serdang Bedagai
32,Sumatera Utara,Kota Tebing Tinggi
33,Sumatera Utara,Kab. Asahan
34,Sumatera Utara,Kab. Batu Bara
35,Sumatera Utara,Kota Tanjungbalai
36,Sumatera Utara,Kab. Labuhanbatu
37,Sumatera Utara,Kab. Labuhanbatu Selatan
38,Sumatera Utara,Kab. Labuhanbatu Utara
39,Sumatera Utara,Kab. Padang Lawas
40,Sumatera Utara,Kota Pematangsiantar
41,Sumatera Utara,Kab. Simalungun
42,Sumatera Utara,Kab. Toba
43,Sumatera Utara,Kab. Humbang Hasundutan
44,Sumatera Utara,Kab. Samosir
45,Sumatera Utara,Kota Padangsidimpuan
46,Sumatera Utara,Kab. Tapanuli Selatan
47,Sumatera Utara,Kab. Tapanuli Tengah
48,Sumatera Utara,Kab. Tapanuli Utara
49,Sumatera Utara,Kab. Mandailing Natal
50,Sumatera Utara,Kab. Padang Lawas Utara
51,Sumatera Utara,Kota Sibolga
52,Sumatera Utara,Kota Gunungsitoli
53,Sumatera Utara,Kab. Nias
54,Sumatera Utara,Kab. Nias Selatan
55,Sumatera Utara,Kab. Nias Utara
56,Sumatera Utara,Kab. Nias Barat
57,Kepulauan Riau,Kota Tanjung Pinang
58,Kepulauan Riau,Kab. Bintan
59,Kepulauan Riau,Kab. Lingga
60,Kepulauan Riau,Kota Batam
61,Kepulauan Riau,Kab. Natuna
62,Kepulauan Riau,Kab. Karimun
63,Kepulauan Riau,Kab. Kepulauan Anambas
64,Sumatera Barat,Kota Padang
65,Sumatera Barat,Kab. Padang Pariaman
66,Sumatera Barat,Kota Pariaman
67,Sumatera Barat,Kab. Pesisir Selatan
68,Sumatera Barat,Kab. Kepulauan Mentawai
69,Sumatera Barat,Kota Solok
70,Sumatera Barat,Kab. Solok
71,Sumatera Barat,Kab. Sijunjung
72,Sumatera Barat,Kab. Dharmasraya
73,Sumatera Barat,Kab. Solok Selatan
74,Sumatera Barat,Kota Sawahlunto
75,Sumatera Barat,Kota Bukittinggi
76,Sumatera Barat,Kota Padang Panjang
77,Sumatera Barat,Kab. Agam
78,Sumatera Barat,Kab. Pasaman
79,Sumatera Barat,Kab. Pasaman Barat
80,Sumatera Barat,Kota Payakumbuh
81,Sumatera Barat,Kab. Tanah Datar
82,Sumatera Barat,Kab. Lima Puluh Kota
83,Riau,Kota Pekanbaru
84,Riau,Kab. Pelalawan
85,Riau,Kab. Siak
86,Riau,Kab. Kepulauan Meranti
87,Riau,Kab. Kampar
88,Riau,Kab. Rokan Hulu
89,Riau,Kab. Indragiri Hulu
90,Riau,Kab. Indragiri Hilir
91,Riau,Kab. Kuantan Singingi
92,Riau,Kota Dumai
93,Riau,Kab. Bengkalis
94,Riau,Kab. Rokan Hilir
95,Jambi,Kota Jambi
96,Jambi,Kab. Muaro Jambi
97,Jambi,Kab. Batanghari
98,Jambi,Kab. Tanjung Jabung Barat
99,Jambi,Kab. Tanjung Jabung Timur
100,Jambi,Kab. Bungo
101,Jambi,Kab. Kerinci
102,Jambi,Kab. Merangin
103,Jambi,Kab. Sarolangun
104,Jambi,Kab. Tebo
105,Jambi,Kota Sungai Penuh
106,Sumatera Selatan,Kota Palembang
107,Sumatera Selatan,Kab. Musi Banyuasin
108,Sumatera Selatan,Kab. Banyuasin
109,Sumatera Selatan,Kota Lubuk Linggau
110,Sumatera Selatan,Kab. Musi Rawas
111,Sumatera Selatan,Kab. Musi Rawas Utara
112,Sumatera Selatan,Kab. Lahat
113,Sumatera Selatan,Kab. Muara Enim
114,Sumatera Selatan,Kab. Empat Lawang
115,Sumatera Selatan,Kota Pagar Alam
116,Sumatera Selatan,Kab. Ogan Komering Ulu Timur
117,Sumatera Selatan,Kab. Ogan Komering Ulu
118,Sumatera Selatan,Kab. Ogan Komering Ulu Selatan
119,Sumatera Selatan,Kab. Ogan Ilir
120,Sumatera Selatan,Kab. Ogan Komering Ilir
